PORT_NAME;COUNTRY;LATITUDE;LONGITUDE
TG. SORONG;ID;-0,883333;131,233333
MERAK MAS TERMINAL;ID;-5,916667;105,983333
TOKYO KO;JP;35,666667;139,75
PONTRIEUX;FR;48,7;-3,15
TREGUIER;FR;48,783333;-3,233333
MORLAIX;FR;48,583333;-3,833333
PORT DE ROSCOFF-BLOSCON;FR;48,733333;-3,983333
KINGSTON;JM;17,966667;-76,783333
BEDI;IN;22,516667;70,033333
MIKAWA;JP;34,716667;137,3
PORBANDAR;IN;21,633333;69,6
SANTA BARBARA DE SAMANA;DO;19,2;-69,333333
PUERTO PLATA;DO;19,8;-70,7
PEPILLO SALCEDO;DO;19,7;-71,75
CAP HAITIEN;HT;19,766667;-72,2
PHILLIPSBURG;SX;18,016667;-63,05
CHARLESTOWN;KN;17,133333;-62,633333
GRAND CUL DE SAC BAY;LC;13,983333;-61,016667
FUSHIKI-TOYAMA;JP;36,766667;137,133333
KINGSTOWN;VC;13,15;-61,233333
ST GEORGE'S;GD;12,05;-61,75
GALEOTA POINT TERMINAL;TT;10,133333;-60,983333
FUKUI KO;JP;36,183333;136,1
PORT OF SPAIN;TT;10,65;-61,516667
POINTE A PIERRE;TT;10,316667;-61,466667
IBIZA;ES;38,9;1,45
KRALENDIJK;BQ;12,15;-68,283333
HORTA;PT;38,533333;-28,633333
HIGASHI-HARIMA;JP;34,7;134,833333
OSAKA;JP;34,65;135,433333
SAKAIDE KO;JP;34,333333;133,85
SINT NICOLAAS BAAI;AW;12,433333;-69,916667
CUMANA (PUERTO SUCRE);VE;10,466667;-64,183333
PUERTO LA CRUZ;VE;10,25;-64,633333
JOSE TERMINAL;VE;10,1;-64,85
CATIA LA MAR;VE;10,6;-67,016667
PUERTO BORBURATA;VE;10,483333;-67,983333
PUERTO CHICHIRIVICHE;VE;10,916667;-68,266667
BAYONNE;FR;43,5;-1,466667
TOULON;FR;43,1;5,916667
PORTO VECCHIO;FR;41,583333;9,283333
LAS PIEDRAS;VE;11,7;-70,216667
FUKUYAMA;JP;34,433333;133,433333
PUERTO MIRANDA;VE;10,766667;-71,566667
LA SALINA;VE;10,366667;-71,466667
HIROSHIMA;JP;34,35;132,466667
PUERTO BOLIVAR;CO;12,25;-71,966667
POZOS COLORADOS;CO;11,15;-74,25
BARRANQUILLA;CO;10,966667;-74,766667
BAHIA DE LAS MINAS;PA;9,4;-79,816667
PUERTO CRISTOBAL;PA;9,35;-79,916667
PUERTO MOIN;CR;10;-83,083333
BLUEFIELDS;NI;12,016667;-83,75
TANGIER-MEDITERRANEAN;MA;35,9;-5,483333
PUERTO ESTE;HN;16,083333;-86,9
NEUM;BA;42,916667;17,6
